2NR2,NC,ELKINS FIELD,34.45777778,0.6014014601,-78.61833333,-1.372148278
1E8,NY,MOORES,44.38756194,0.7747088259,-75.06631111,-1.310153818
2E8,MI,CACKLEBERRY,42.42503472,0.7404562764,-83.86938889,-1.463796454
5E9,OH,PACKER,40.40797639,0.7052519799,-83.21936,-1.452451314
00M,MS,THIGPEN FIELD,31.953765,0.5576982082,-89.23450472,-1.557435357
00N,NJ,BUCKS,39.47317056,0.6889365461,-75.18518472,-1.312228553
01C,MI,GRANT,43.34168861,0.7564548992,-85.7750475,-1.49705646
01G,NY,PERRY-WARSAW,42.74134667,0.7459769593,-78.05208056,-1.362265307
01J,FL,HILLIARD AIRPARK,30.68633056,0.535577312,-81.90568611,-1.429523388
01M,MS,TISHOMINGO COUNTY,34.49166667,0.6019929326,-88.20111111,-1.539399242
02A,AL,GRAGG-WADE FIELD,32.85048333,0.57334889,-86.61143611,-1.51165419
02C,WI,CAPITOL,43.08751,0.7520186471,-88.17786917,-1.538993594
02G,OH,COLUMBIANA COUNTY,40.67331278,0.7098829718,-80.64140639,-1.407457552
03I,OH,CLARKS DREAM STRIP,39.64422889,0.6919220761,-83.01823889,-1.44894109
04A,AL,FRANK SIKES,31.73613889,0.5538999174,-86.26222222,-1.50555926
04G,OH,LANSDOWNE,41.13047222,0.7178619065,-80.61958333,-1.407076668
04I,OH,COLUMBUS SOUTHWEST,39.91117333,0.6965811339,-83.18880139,-1.451917966
04M,MS,CALHOUN COUNTY,33.93011222,0.5921919621,-89.34285194,-1.559326372
05C,IN,GRIFFITH-MERRILLVILLE,41.519841,0.7246576712,-87.39950797,-1.525408633
06A,AL,MOTON FIELD MUNI,32.46047167,0.5665419048,-85.68003611,-1.495398199
06C,IL,SCHAUMBURG RGNL,41.98934083,0.7328519862,-88.10124278,-1.537656212
06M,MS,EUPORA,33.53456583,0.5852883777,-89.31256917,-1.558797838
06N,NY,RANDALL,41.43196056,0.7231238687,-74.39159472,-1.298377799
07A,AL,FRANKLIN FIELD,32.16681389,0.5614166115,-85.809675,-1.497660823
07B,ME,BLUE HILL,44.44797222,0.7757631837,-68.56969444,-1.196766507
07D,MI,TACKABERRY,43.064475,0.7516166106,-82.72383333,-1.443802745
07N,PA,BERMUDIAN VALLEY AIRPARK,40.01676167,0.6984239973,-77.00386667,-1.34397053
08A,AL,WETUMPKA MUNI,32.52943944,0.5677456191,-86.32822139,-1.506711162
